"수정중 : 아직 적는중
완료 : 웬만하면 안바뀜
아이디어 : 이거어떰?
확인 필요 : 이건좀;;","시스템 대사 : 스토리와 상관 없음. 5초 이후 사라짐. 여러 개가 겹칠 경우 각각의 대사에 대해 2초 이상의 출력 시간을 보장. 상단에 출력
인게임 대사 : 스토리 진행과 관련있는 대사. 시스템 메세지보다는 가시성이 높으며 대사 목록에서 볼 수 있음. 10초 후에 사라짐. 여러 개가 겹칠 경우 각각의 대사에 대해 3초 이상의 출력 시간을 보장. 하단에 출력
퀘스트 : 조건에 따라 사라짐. 좌측에 출력.
여러 개의 퀘스트 대사가 겹칠 시 가장 최근에 출력된 하나만 출력.
연출 : 피그마 참고. 별도로 작성함.
라디오 : 라디오 UI에서 출력됨. 스토리와 직접적인 상관은 없음.",,,,,,,줄 구분용 셀,
현황,구분,위치,퀘스트,조건/아이템 이름,내용,결과/아이템 용도,비고,
완료,시스템 대사,시스템,범용,아이템 획득 패널에서 획득 버튼을 눌렀을 때,을(를) 획득했습니다.,-,,
완료,시스템 대사,시스템,범용,아이템을 잃었을 때,을(를) 사용했습니다.,아이템 사라짐,"조합 시 2번 출력
Rsub1 클리어 시 종이컵을 잃음 -> 출력.",
완료,시스템 대사,시스템,범용,(아이템 조합),잃음 / 잃음 / 획득,"재료 아이템 사라짐, 완성 아이템 획득",,
완료,시스템 대사,시스템,범용,"충전된 손전등을 미사용, 어두운 곳을 탐색",어두워서 보이지 않는다. 빛이 필요하다.,,,
완료,인게임 대사,시스템,범용,10초간 인벤토리나 퀘스트 패널이 열리지 않았을 시,"아무도 없는 것 같다...
선배가 실종된 곳도 여기일까?
이 공간에 대한 파악이 필요할 것 같다.
탈출구가 있을지 찾아보자...",10초마다 출력,,
완료,시스템 대사,시스템,범용,칼이 없을 때 법학강의실 - 전시관 이동 버튼 클릭 시,나무 덩굴에 막혀 이동할 수 없다.,,,
완료,인게임 대사,시스템,범용,칼이 있을 때 법학강의실 - 전시관 이동 버튼 클릭 시,녹슨 검으로 덩굴을 베어내니 통로가 드러났다.,,,
완료,시스템 대사,시스템,범용,로비1층에서 운동장으로 이동 버튼 클릭 시,보안장치로 굳게 잠겨있다.,,,
완료,시스템 대사,시스템,범용,"메인퀘스트 미완료, 로비1층에서 H동으로 이동 버튼 클릭 시",단단한 나무뿌리가 출구를 굳게 막고 있다.,,,
완료,인게임 대사,시스템,범용,"충전된 손전등을 사용, 어두운 곳을 탐색","전등을 비추니, 숨겨진 물체가 보인다.",,,
수정중,연출,R동,초반 컷신,게임 시작 버튼 누름,,홍문관 로비에서 게임 시작,,
완료,시스템 대사,R동 로비 1층,튜토리얼,게임 시작,길게 누르면 탐색을 할 수 있다.  ,,UI에 화살표 띄워서 탐색 기능 안내?,
완료,퀘스트 대사,R동 전체,Rmain,그림조각 1~4 중 하나를 획득,사진 조각 획득하기,Rmain 클리어 시 소멸,,
완료,인게임 대사,R동 전체,Rmain,그림조각 1~4 중 하나를 획득,다른 사진 조각이 더 있을까? 찾아 보자.,,,
완료,퀘스트 대사,카페나무,Rsub1,카페나무에서 '싱크대' 퀘스트 패널 열기,싱크대 조사하기,Rsub1 클리어 시 소멸,,
완료,인게임 대사,카페나무,Rsub1,카페나무에서 '싱크대' 퀘스트 패널 열기,물 속에도 무언가가 있는 것 같다. 조사해 보자.,,,
완료,인게임 대사,카페나무,Rsub1,"싱크대' 퀘스트 패널에서 녹색 물 터치, 최초 1회만",물에 손을 넣으니 손이 매우 따갑다. 연기가 나는 것 같다.,즉시 다음 대사 출력,,
완료,인게임 대사,카페나무,Rsub1,-,액체를 퍼낼 도구를 찾아보자. 조합 기능을 이용해보는 게 좋겠다.,,UI에 화살표같은거 하나 띄워서 조합 기능 안내?,
완료,아이템 설명,카페나무,Rsub1,찢어진 종이컵,바닥에 구멍이 뚫려 물이 샌다.,테이프와 조합,TearedPaperCup,
완료,아이템 설명,전시관,Rsub1,테이프,물에 닿아도 끄떡없는 튼튼한 테이프.,찢어진 종이컵과 조합,Tape,
완료,아이템 설명,조합,Rsub1,테이프 붙인 종이컵,구멍은 메웠지만 손잡이가 필요할 것 같다.,나무막대와 조합,FixedPaperCup,
완료,아이템 설명,R동 로비 1층,Rsub1,나무막대,손대지 않고 액체를 퍼내기 충분한 길쭉한 막대.,테이프 붙인 종이컵과 조합,WoodStick,
완료,아이템 설명,조합,Rsub1,간이국자,급조했지만 생각보다 튼튼하다.,"R1에 사용, 사라지고 '끈적한 간이 국자' 획득",HandyLadle,
완료,인게임 대사,법학강의실,Rsub2,법학강의실에서 '천칭' 퀘스트 패널 열기,균형이 맞지 않는 천칭은 어딘가 불길한 기운을 내고 있다.,,,
완료,퀘스트 대사,법학강의실,Rsub2,법학강의실에서 '천칭' 퀘스트 패널 열기,천칭의 균형 맞추기,Rsub2 클리어 시 소멸,,
완료,인게임 대사,법학강의실,Rsub2,클리어,요란한 소리와 함께 조각상 뒤에서 낡은 검이 떨어졌다.,,,
완료,아이템 설명,R동 로비 2층,Rsub2,짱돌,짱 무거운 돌.,무게 11,Rock,
완료,아이템 설명,카페나무,Rsub2,끈적한 간이국자,액체를 머금어 상당히 묵직해졌다.,무게 5,StickyHandyLadle,
완료,아이템 설명,카페나무,Rsub2,오래된 캔음료,지난 주에 나온 신상품이지만 고대 유물 같은 모습이다.,무게 3,OldCan,
완료,아이템 설명,R동 로비 1층,Rsub2,대리석 파편,건물의 벽에서 떨어져 나온 묵직한 돌조각.,무게 6,MarblePart,
완료,아이템 설명,법학강의실,Rsub2,찢긴 대법전,책 일부가 짐승이 할퀸 듯 갈기갈기 찢겨나갔다.,무게 10,TearedLawBook,
완료,아이템 설명,법학강의실,Rsub2,전공책,오래되어 보이는 전공책이다.,무게 9,OldBook,
수정중,인게임 대사,법학강의실,Rsub2,충전된 손전등을 사용해 책상 밑 탐색,"책상 밑에서 두꺼운 법전을 찾았다.
일상적으로 갖고 다니기에는 너무 크고 무겁다.",,,
완료,인게임 대사,전시관,Rsub3,충전된 손전등을 사용해 평범한 그림 탐색,평범한 그림이다.,,,
완료,퀘스트 대사,전시관,Rsub3,충전된 손전등을 사용해 수상한 그림 탐색,그림 뒤 숨겨진 물건 찾기,Rsub3 클리어 시 소멸,,
완료,인게임 대사,전시관,Rsub3,충전된 손전등을 사용해 수상한 그림 탐색,그림 뒤에 무언가가 있는 것 같다. 캔버스가 질겨 힘으로는 꺼낼 수 없다.,,,
완료,인게임 대사,전시관,Rsub3,녹슨 검으로 그림을 찢음,"누군가 그림 뒤에 의도적으로 사진 조각을 숨겨둔 것 같다.
등골이 서늘해지는 기분이다.",길면 2개로 쪼개서 출력,,
완료,아이템 설명,로비,Rsub3,2V 건전지,어떻게 전압을 유지했는지 알 수 없는 오래된 배터리.,낡은 손전등과 2회 조합,2Vbattery,
완료,아이템 설명,법학강의실,Rsub3,2V 건전지,어떻게 전압을 유지했는지 알 수 없는 오래된 배터리.,낡은 손전등과 2회 조합,2Vbattery,
완료,아이템 설명,전시관,Rsub3,2V 건전지,어떻게 전압을 유지했는지 알 수 없는 오래된 배터리.,낡은 손전등과 2회 조합,2Vbattery,
완료,아이템 설명,전시관,Rsub3,낡은 손전등,방전되어 불이 켜지지 않는 구식 손전등,무게 3,OldFlashlight,
완료,아이템 설명,전시관,Rsub3,방전된 손전등,아직 건전지가 모자라 불이 켜지지 않는 구식 손전등,무게 3,LowBatteryFlashlight,
완료,아이템 설명,전시관,Rsub3,충전된 손전등,건전지를 가득 채운 손전등. 어두운 곳을 밝히는 데 사용.,무게 3,Flashlight,
수정중,아이템 설명,카페나무,-,라디오,작동하지 않는 것 같다...다른 곳에서 고칠 수 있을 것 같다.,라디오,Broadcast,
수정중,아이템 설명,R동 로비 1층,-,낡은 지도,아주 오래되어 보이는 캠퍼스 약도이다.,미니맵,OldMap,
수정중,아이템 설명,법학강의실,Rsub2,녹슨 검,녹슬었지만 무언가를 베어낼 수 있을 정도로 날카롭다.,검,RustedSword,
수정중,아이템 설명,전시관,Rsub3,못,무언가를 고정시킬 수 있을 것 같다.,못,Nail,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
,시스템 대사,,,,,,,
